Dataset	CancelOut_Sigmoid_bestK	CancelOut_Sigmoid_best2K	CancelOut_Sigmoid_TrainAUC	CancelOut_Sigmoid_TrainAUPRC	CancelOut_Sigmoid_AUC	CancelOut_Sigmoid_AUPRC
ring+xor_4_250	1.0	1.0	0.7533540286126218	0.8058392208138333	0.7120199254724427	0.7941927516331247
ring+xor_8_250	0.6666666666666666	1.0	0.7274669654249161	0.7761423349051187	0.6164467653712505	0.6682785719503023
ring+xor_16_250	0.4166666666666667	0.625	0.7943687579335429	0.7794371955462243	0.5809200334941158	0.6084511527819082
ring+xor_32_250	0.25	0.4583333333333333	0.7779092840020704	0.7949038208954313	0.5299603844011739	0.6010897381518058
ring+xor_64_250	0.041666666666666664	0.16666666666666666	0.9148147895805518	0.9171602211052569	0.49077439819512386	0.5738485576724032
ring+xor_128_250	0.08333333333333333	0.08333333333333333	0.8850972284288545	0.87285379186388	0.5411914031960472	0.5349078543296568
ring+xor_256_250	0.0	0.0	0.936349618396194	0.9223692795502904	0.5181790192249764	0.6068365262584895
ring+xor_512_250	0.0	0.0	0.9733846941357148	0.9723759760803397	0.5542228625013713	0.6090194191836767
ring+xor_1024_250	0.0	0.0	0.9795074275605047	0.9803227414323841	0.5242785349853292	0.5633709500132221
ring+xor_2048_250	0.0	0.0	0.9822432208125752	0.9829313353202092	0.5127274211966242	0.5577595186851877
